soundlevel,date
45.43369811,00:14.4
58.77686861,00:14.5
55.0422049,00:14.6
55.0422049,00:14.7
54.31478435,00:14.8
52.87922657,00:14.9
67.57975347,00:15.0
54.31478435,00:15.1
54.31478435,00:15.2
52.87922657,00:15.3
53.59380111,00:15.4
55.77609136,00:15.5
55.77609136,00:15.6
63.47687576,00:15.7
60.3167966,00:15.8
62.67675655,00:15.9
60.3167966,00:16.0
55.0422049,00:16.1
56.51647236,00:16.2
57.26337649,00:16.3
58.01683237,00:16.4
61.88338936,00:16.5
55.77609136,00:16.6
61.88338936,00:16.7
55.77609136,00:16.8
58.01683237,00:16.9
53.59380111,00:17.0
53.59380111,00:17.1
55.0422049,00:17.2
54.31478435,00:17.3
56.51647236,00:17.4
64.2837756,00:17.5
53.59380111,00:17.6
52.17103212,00:17.7
58.01683237,00:17.8
55.77609136,00:17.9
55.0422049,00:18.0
56.51647236,00:18.1
55.77609136,00:18.3
57.26337649,00:18.4
56.51647236,00:18.4
58.01683237,00:18.5
57.26337649,00:18.7
56.51647236,00:18.7
56.51647236,00:18.8
56.51647236,00:18.9
58.01683237,00:19.1
61.88338936,00:19.2
57.26337649,00:19.3
68.42098562,00:19.3
65.09748468,00:19.4
61.09674558,00:19.5
56.51647236,00:19.6
64.2837756,00:19.8
57.26337649,00:19.9
50.77366903,00:19.9
55.77609136,00:20.1
55.77609136,00:20.2
57.26337649,00:20.3
57.26337649,00:20.4
55.0422049,00:20.5
55.0422049,00:20.6
56.51647236,00:20.7
55.0422049,00:20.8
57.26337649,00:20.9
55.77609136,00:21.0
57.26337649,00:21.1
53.59380111,00:21.2
57.26337649,00:21.3
56.51647236,00:21.4
55.0422049,00:21.5
55.77609136,00:21.6
52.87922657,00:21.7
55.77609136,00:21.8
57.26337649,00:21.9
54.31478435,00:22.0
54.31478435,00:22.1
56.51647236,00:22.2
55.77609136,00:22.3
55.0422049,00:22.4
55.77609136,00:22.5
56.51647236,00:22.6
56.51647236,00:22.7
55.77609136,00:22.8
56.51647236,00:22.9
55.77609136,00:23.0
58.01683237,00:23.1
55.77609136,00:23.2
55.77609136,00:23.3
58.01683237,00:23.4
55.77609136,00:23.5
59.54351382,00:23.6
58.77686861,00:23.7
61.88338936,00:23.8
53.59380111,00:23.9
48.72475979,00:24.0
55.0422049,00:24.1
